timestamp,camera_id,hour,day_of_week,weather,total_slot,occupied,occupancy_rate
2015-07-03 08:05:00,A,8,Friday,S,51,6,0.11764705882352941
2015-07-03 08:10:00,A,8,Friday,S,51,7,0.13725490196078433
2015-07-03 08:15:00,A,8,Friday,S,51,8,0.1568627450980392
2015-07-03 08:20:00,A,8,Friday,S,51,8,0.1568627450980392
2015-07-03 08:25:00,A,8,Friday,S,51,9,0.17647058823529413
2015-07-03 08:30:00,A,8,Friday,S,51,10,0.19607843137254902
2015-07-03 08:35:00,A,8,Friday,S,51,11,0.21568627450980393
2015-07-03 08:40:00,A,8,Friday,S,51,11,0.21568627450980393
2015-07-03 08:45:00,A,8,Friday,S,51,11,0.21568627450980393
2015-07-03 08:50:00,A,8,Friday,S,51,12,0.23529411764705882
2015-07-03 08:55:00,A,8,Friday,S,51,12,0.23529411764705882
2015-07-03 09:00:00,A,9,Friday,S,51,14,0.27450980392156865
2015-07-03 09:05:00,A,9,Friday,S,51,15,0.29411764705882354
2015-07-03 09:10:00,A,9,Friday,S,51,15,0.29411764705882354
2015-07-03 09:15:00,A,9,Friday,S,51,16,0.3137254901960784
2015-07-03 09:20:00,A,9,Friday,S,51,16,0.3137254901960784
2015-07-03 09:25:00,A,9,Friday,S,51,17,0.3333333333333333
2015-07-03 09:30:00,A,9,Friday,S,51,17,0.3333333333333333
2015-07-03 09:35:00,A,9,Friday,S,51,20,0.39215686274509803
2015-07-03 09:40:00,A,9,Friday,S,51,20,0.39215686274509803
2015-07-03 09:45:00,A,9,Friday,S,51,23,0.45098039215686275
2015-07-03 09:50:00,A,9,Friday,S,51,27,0.5294117647058824
2015-07-03 09:55:00,A,9,Friday,S,51,28,0.5490196078431373
2015-07-03 10:00:00,A,10,Friday,S,51,29,0.5686274509803921
2015-07-03 10:05:00,A,10,Friday,S,51,29,0.5686274509803921
2015-07-03 10:10:00,A,10,Friday,S,51,29,0.5686274509803921
2015-07-03 10:15:00,A,10,Friday,S,51,29,0.5686274509803921
2015-07-03 10:20:00,A,10,Friday,S,51,29,0.5686274509803921
2015-07-03 10:25:00,A,10,Friday,S,51,30,0.5882352941176471
2015-07-03 10:30:00,A,10,Friday,S,51,31,0.6078431372549019
2015-07-03 10:35:00,A,10,Friday,S,51,33,0.6470588235294118
2015-07-03 10:40:00,A,10,Friday,S,51,37,0.7254901960784313
2015-07-03 10:45:00,A,10,Friday,S,51,37,0.7254901960784313
2015-07-03 10:50:00,A,10,Friday,S,51,39,0.7647058823529411
2015-07-03 10:55:00,A,10,Friday,S,51,39,0.7647058823529411
2015-07-03 11:00:00,A,11,Friday,S,51,39,0.7647058823529411
2015-07-03 11:05:00,A,11,Friday,S,51,40,0.7843137254901961
2015-07-03 11:10:00,A,11,Friday,S,51,41,0.803921568627451
2015-07-03 11:15:00,A,11,Friday,S,51,41,0.803921568627451
2015-07-03 11:20:00,A,11,Friday,S,51,42,0.8235294117647058
2015-07-03 11:25:00,A,11,Friday,S,51,42,0.8235294117647058
